Search,Authors,Article Title,Source Title,DOI,Abstract,Relevant?,Actually considers both food and fuel?,Country Context,Country grouping,Method,Method grouping - uses spatial analysis?,Forest,Forest grouping,,,,,,,
food fuel AHP,"Meixner, O; Hackl, S; Haas, R",Assessing the Sustainability of Palm Oil by Expert Interviews-An Application of the Analytic Hierarchy Process,SUSTAINABILITY,,"Palm oil plays a crucial role in the food industry, industrial applications, and bioenergy, accounting for over one-third of global vegetable oil production. The production area has quadrupled, and the volume is about seven times higher today than in the early 1990s. This significant increase is attributed to several factors, including the oil palm's notably higher yield per hectare compared to other oilseeds, cost-effectiveness, versatility, and excellent manufacturing characteristics. Despite its economic benefits, industrial palm oil production raises substantial ecological and social concerns, such as deforestation, habitat loss, and labor issues. This study presents a comprehensive sustainability assessment that concurrently considers economic, environmental, and social aspects. Through qualitative expert interviews, various stakeholders in the supply chain evaluated the sustainability criteria of palm oil production and application using the Analytical Hierarchy Process (AHP), a decision support tool helping to analyze, structure, and solve complex decision problems. The results reveal that, on average, the experts consider environmental criteria to be of the highest importance, followed by social sustainability, while economic criteria are of lower significance. However, the approximations regarding the weighting of the criteria showed considerable variations among experts. The AHP priority index for RSPO-certified palm oil is nearly as high as the reference product EU canola oil; this observation is consistent with all expert judgments. This study provides an adequate approach to assessing the sustainability of agricultural supply chains, offering practical recommendations for the food industry and policymakers.",Y,Y,Non specified,Not specified,"AHP, no spatial analysis",No,Considered,Included,,,,,,,
food fuel AHP,"Machado, RL; Abreu, MR",Multi-objective optimization of the first and second-generation ethanol supply chain in Brazil using the water-energy-food-land nexus approach,RENEWABLE & SUSTAINABLE ENERGY REVIEWS,,"Biofuels are essential in achieving some of the United Nations' Sustainable Development Goals (SDGs) by integrating water consumption, energy and food production, and land usage. The water-energy-food-land Nexus approach (WEFL Nexus) supports integrated production planning of natural resources and promotes sustainability. In Brazil, sugarcane ethanol production is considered one of the biofuel nation's solutions to reduce dependence on fossil fuels. Ethanol production constitutes a renewable and sustainable energy source. This research analyzes the efficiency and sustainability of the Brazilian ethanol supply chain, comparing a conventional scenario focusing only on economic efficiency (restricted to first-generation ethanol production) with another scenario considering WEFL Nexus objectives (and first and second-generation ethanol production). The study developed a multi-objective mathematical model to analyze the supply chain efficiency, combined with a multi-criteria decision approach analysis. The results indicate a gain in efficiency and sustainability with the second-generation manufacturing plants. In the Nexus scenario, supply chain efficiency increased due to the 35.63 % additional production of second-generation ethanol and the 2.94 % manufacturing cost minimization. Also, the Nexus scenario met sustainable and social demands that were not fulfilled by the non-Nexus scenario. An AHP model investigated the adequacy of the mathematical results and confirmed that the Nexus scenario was the most suitable solution for the Brazilian supply chain, with 63 % of the stakeholder's preferences. Results indicated that the Nexus approach is essential for achieving the long-term SDGs.",Y,Y,Brazil,South America,"AHP, no spatial analysis",No,Not considered,Not included,,,,,,,
food fuel AHP,"Fernández-Tirado, F; Parra-López, C; Romero-Gámez, M",A multi-criteria sustainability assessment for biodiesel alternatives in Spain: Life cycle assessment normalization and weighting,RENEWABLE ENERGY,,"The bioenergy sector in the European Union has undergone strong growth in line with the legislative framework, with environmental, economic and social implications at global scale. In Spain, almost 100% of biodiesel is produced from food and feed crops feedstocks. First-generation biodiesel will go on being a key partial rapid solution to replace fossil fuel in transport sector. However, impacts differ significantly among the type of agricultural system, the raw materials used and their life cycle. The aim of this study is to identify the best first-generation biodiesel alternative to replace petrodiesel in transport sector in the short term in Spain. Life Cycle Assessment normalization and weighting can facilitate decision making in situations where trade-offs among impact category results do not allow choosing one preferable solution among the alternatives. A panel weighting impact approach based on expert opinions was used to assess the sustainability of three biodiesel production systems. The results indicate that, according to expert's opinion, the rapeseed-based biodiesel produced entirely in Spain is the most sustainable alternative of biodiesel, with higher normalized weight (0.398), over soybean-based biodiesel produced in Argentina (0.291) or in Spain (0.312) using soybean oil imported from Argentina, because it could significatively increase job creation and gross value added. (C) 2020 Published by Elsevier Ltd.",Y,Y,Spain,Europe,"LCA, no spatial analysis",No,Not considered,Not included,,,,,,,
food fuel AHP,"Reher, T; Lavaert, C; Ottoy, S; Martens, JA; Van Orshoven, J; Cappelle, J; Diels, J; van de Poel, B",Room for renewables: A GIS-based agrivoltaics site suitability analysis in urbanized landscapes,AGRICULTURAL SYSTEMS,,"CONTEXT: Flanders, a densely populated region in Belgium, faces challenges in balancing agricultural production with renewable energy targets. Agrivoltaic systems combine solar energy and agricultural activity on the same field and can increase land productivity while simultaneously expanding the share of renewables. However, its potential and implications for the region is geographically complex. OBJECTIVE: This research aims to assess the suitability of Flanders' 658,000 ha agricultural land for agrivoltaic systems, using a geographical multi criteria decision analysis (MCDA), considering environmental, technical, agronomic, and cultural criteria to optimize land use for simultaneous food and energy production. METHODS: We describe a Geographic information system Multiple-criteria decision analysis (GIS-MCDA) using QGis-software. Expert stakeholder input was incorporated by applying the pairwise comparison method from the analytical hierarchical process (AHP). Criterion weights are applied to seven classifiers: irradiance, soil suitability, slope, orientation (aspect), crop type, flood risk and distance to roads/grid. Areas with particular societal, ecological, economic, and historical importance are excluded. The resulting scores are then placed in their agronomic and energy context. RESULTS AND CONCLUSION: Our analysis indicates that 60.4 % of Flanders' farmland is well suited for agrivoltaic development, and that 9 % of farmland under AV would suffice to meet future energy targets in combination with rooftop PV. After our analysis, 11.5 % of total agricultural land was classified as less suitable, 28.74 % as somewhat suitable, 19.40 % as suitable and 12.22 % as very suitable. SIGNIFICANCE: Transitioning away from fossil fuels requires a multi-facetted approach. Agrivoltaic systems can contribute to this shift, opening up additional land without significantly compromising farm revenue. This study presents insights into the feasibility and geographic potential of agrivoltaic systems in densely populated regions with intensive agriculture like Flanders and can serve as a base for future discussion regarding dual land use planning decisions locally and abroad.",Y,Y,Belgium,Europe,MCDA with GIS,Yes,Not considered,Not included,,,,,,,
food energy AHP,"Papadopoulou, CA; Kourtis, IM; Laspidou, C; Tsihrintzis, VA; Papadopoulou, MP",An integrated methodology for systematic stakeholder engagement in environmental decision-making under the Water-Energy-Food-Ecosystems nexus framework,ENVIRONMENTAL DEVELOPMENT,,"The 'nexus' approach is a promising exemplar underpinning systemic thinking and advancing integrated resource use. In this context, stakeholder engagement comprises a significant challenge as stakeholders are affecting and affected by resource availability and exploitation. This paper focuses on the operationalisation/systematisation of abstract concepts expressed during participatory workshops and its contribution to the efficient management of the Water-Energy-Food-Ecosystems (WEFE) nexus by supporting the design of future policies and integrated solutions. A novel methodological framework is presented combining the Analytic Hierarchy Process (AHP) and the Multicriteria Analysis of Policies method (MULTIPOL) in order to seek solutions and build innovative policy options. AHP and MULTIPOL complement each other as the first indicates which solutions are most effective while the latter indicates how such solutions may be implemented by adopting relevant policies. The application of the proposed methodology is demonstrated in the environmental management of a transboundary river basin. Results show that the suggested methodological framework is robust, applicable to wider contexts and spatial scales, and coherent. The construction of (new) green-gray infrastructures (irrigation infrastructures, Nature-based Solutions (NbS), fish corridor, reclamation works, energy infrastructures) was classified as the most effective solution while protection of water quality, minimisation of water losses, limitation of flood risks, ecosystems preservation and the adoption of eco-friendly/multi-functional patterns of spatial development constitute important priorities for (transboundary) river basins. The analysis adds to the current literature addressing qualitative research on the WEFE nexus and the systematisation of stakeholder input by employing qualitative/quantitative methods.",Y,Y,Global,Global,"AHP, no spatial analysis",No,Considers forests and ecosystem preservation,Included,,,,,,,
food energy AHP,"Chanthawong, A; Dhakal, S",Stakeholders' perceptions on challenges and opportunities for biodiesel and bioethanol policy development in Thailand,ENERGY POLICY,,"Thailand is Southeast Asia's largest promoter of biofuels. Although, Thailand promotes the use of biofuels, it has yet to achieve its policy targets. This paper focuses on the first generation biofuel development in Thailand and examines the perceptions of seven stakeholder groups to guide further policy development. These stakeholders were feedstock producers, biofuel producers, government agencies, car manufacturers, oil companies, non-profit organizations and end users. It combines a Strengths, Weakness, Opportunities and Threats (SWOT) framework with an Analytical Hierarchy Process (AHP) framework and a TOWS Matrix for analysis of stakeholder's perceptions to propose priorities for policy development. Five policies were of high priority for development of biofuel. These are: (1) promoting biofuel production and use in long term through government policies, (2) revising government regulations to allow sale of biofuel products to other domestic industries while keeping retail prices of blended biofuels below those of regular ethanol and biodiesel, (3) improving farm management and promoting contract farming, (4) expanding cultivation area and yield without affecting food production and environmental sustainability, and (5) balancing biofuel feedstock use between the food and energy industries. (C) 2016 Elsevier Ltd. All rights reserved.",Y,Y,Thailand,Other SE Asia,"SWOT and AHP, no spatial analysis",No,Not considered,Not included,,,,,,,
food energy AHP,"Dere, S; Günay, EE; Kula, U; Kremer, GE",Assessing agrivoltaics potential in Türkiye - A geographical information system (GIS)-based fuzzy multi-criteria decision making (MCDM) approach,COMPUTERS & INDUSTRIAL ENGINEERING,,"To fulfill the energy requirements through solar photovoltaic (PV) systems, significant land use is needed for solar arrays, access roads, substations, and service buildings. When available land is limited, its use for PV systems creates a major conflict, particularly for crop production. Agrivoltaic (APV) systems are engineered to allocate the same land effectively for both PV energy generation and agricultural activities. Thus, they enable the simultaneous production of food and energy. This study investigates the APV potential of T & uuml;rkiye using fuzzy multi-criteria decision-making (MCDM) approach and Geographic Information System (GIS) data. The top five cities with the largest cultivated area are identified for assessment of potential APV investments using the fuzzy analytic hierarchy process (FAHP) and technique for order preference by similarity to the ideal solution (TOPSIS) methods. The FAHP method captures the uncertainty and vagueness in experts' judgments for criteria prioritization. Next, suitability maps are created using the criteria weights and GIS data to identify potential sites for the APV construction. Finally, the best location is selected Siverek East- S,anl & imath;urfa , anl & imath;urfa from fifteen candidate locations from five cities by the TOPSIS method. Sensitivity analysis is conducted to examine the impact of criteria weights on APV suitability maps. The findings of the study provide valuable insights for practitioners in selecting investment locations to harness solar energy sustainably and concurrently facilitate crop production.",Y,Y,Turkey,Other Asia,AHP and spatial data,Yes,"Considered, excluded",Included,,,,,,,
food energy AHP,"Romero-Ramos, JA; Gil, JD; Cardemil, JM; Escobar, RA; Arias, I; Pérez-García, M",A GIS-AHP approach for determining the potential of solar energy to meet the thermal demand in southeastern Spain productive enclaves,RENEWABLE & SUSTAINABLE ENERGY REVIEWS,,"In this work, the potential of southeastern Spain to host solar thermal plants to meet the heat demands of its industrial enclaves is assessed and presented. For this, the generation of thermal energy for industrial uses in the medium temperature range is estimated, with special emphasis on those areas not connected to the thermal energy distribution networks. This region has been selected due to its high availability of solar resources, while forming a geographic area that presents numerous agrifood industries. These facilities, according to their temperature range heat demands for boiling, pasteurizing, and other food-related processes, are one of the best-suited sectors for the application of medium-temperature solar collectors, both parabolic trough and linear Fresnel. A Geographic Information System and the Analytic Hierarchy Process Method have been used for information management and decision making, respectively. A geographic database was built using layers provided by different information sources on climate, land characteristics and use, industrial activity, and energy infrastructures, including the distance to natural gas distribution pipelines as a specific criterion for decision making. The final result translates into a geographic suitability scale, which revealed that about 5%(1482 km2) of the total territory in southeastern Spain is highly suitable for the future development of productive enclaves fed by solar thermal installations, where it is estimated that the energy demand could be met in 42%(9.5 TWh/y) with parabolic trough and 65%(14.7 TWh/y) linear Fresnel collectors in areas with a score since 7 points.",Y,Y,Spain,Europe,AHP and spatial data,Yes,Not considered,Not included,,,,,,,
food energy AHP,"Kumar, A; Vema, VK; Kurian, C; Thomas, J; Sudheer, KP",A decision support system for the identification of critical zones in a watershed to implement land management practices,STOCHASTIC ENVIRONMENTAL RESEARCH AND RISK ASSESSMENT,,"The increasing demand for food and clean energy, such as biofuel calls for a sustainable food-energy nexus in the agriculture sector. Mixed cropping pattern of food and biofuel crops is a viable strategy to meet the escalating demands of the biofuel production at the cost of food production. The implementation of the proposed solutions of simulation-optimization frameworks, at larger spatial scales, is a challenging task. One of the commonly adopted approaches is to implement the solution initially in critical zones that are sensitive to the land management practices and are critical for achieving the objectives. Despite the different techniques to identify the critical zones, this study proposes a new approach to identify the critical zones within a watershed, where the land use changes are essential to improve the social and physical environment while meeting the concurring demands for food and biofuel production. A decision support system (DSS), utilizing the concept of analytical hierarchy process (AHP) is developed to choose the number of optimal solutions from the Pareto-optimal Front to reduce the uncertainty involved in solution adaption by the decision-maker and identification of the critical zone. The results from the study indicate how solution strategies can influence the objective of optimal balance between crop demand and nutrient minimization using different cases. The proposed land use using the developed framework reduced the Total Nitrogen and Total Phosphorous loads by 29% and 38%, respectively from the watershed by converting about 44% of the baseline land use to different cropping patterns with the restriction on minimal food grain and biomass production. The outcome of the framework indicates that the adaptation of more robust objective function for spatial optimization through the developed DSS can reduce the nutrient load in the downstream water.",Y,Y,United States,North America,"AHP and decision support system, includes spatial analysis",Yes,Not considered,Not included,,,,,,,
food energy AHP,"Mehta, K; Zörner, W",Optimizing Agri-PV System: Systematic Methodology to Assess Key Design Parameters,ENERGIES,,"Agrivoltaic (Agri-PV) systems face the critical challenge of balancing photovoltaic energy generation with crop productivity, yet systematic approaches to quantifying the trade-offs between these objectives remain scarce. In this study, we identify nine essential design indicators: panel tilt angle, elevation, photovoltaic coverage ratio, shading factor, land equivalent ratio, photosynthetically active radiation (PAR) utilization, crop yield stability index, water use efficiency, and return on investment. We introduce a novel dual matrix Analytic Hierarchy Process (AHP) to evaluate their relative significance. An international panel of eighteen Agri-PV experts, encompassing academia, industry, and policy, provided pairwise comparisons of these indicators under two objectives: maximizing annual energy yield and sustaining crop output. The high consistency observed in expert responses allowed for the derivation of normalized weight vectors, which form the basis of two Weighted Influence Matrices. Analysis of Total Weighted Influence scores from these matrices reveal distinct priority sets: panel tilt, coverage ratio, and elevation are most influential for energy optimization, while PAR utilization, yield stability, and elevation are prioritized for crop productivity. This methodology translates qualitative expert knowledge into quantitative, actionable guidance, clearly delineating both synergies, such as the mutual benefit of increased elevation for energy and crop outcomes, and trade-offs, exemplified by the negative impact of high photovoltaic coverage on crop yield despite gains in energy output. By offering a transparent, expert-driven decision-support tool, this framework enables practitioners to customize Agri-PV system configurations according to local climatic, agronomic, and economic contexts. Ultimately, this approach advances the optimization of the food energy nexus and supports integrated sustainability outcomes in Agri-PV deployment.",Y,Y,Non specified,Not specified,"dual matrix AHP, no spatial analysis",No,Not considered,Not included,,,,,,,
food energy AHP,"Raja, NR; Peter, NR; Rengarajan, J; Radhakrishnan, A; Saravanan, AK; Kondusamy, A; Paran, BC",Spatial modelling of seaweed farming potential areas in Chengalpattu district using a Fuzzy AHP-GIS framework,INDIAN JOURNAL OF GEO-MARINE SCIENCES,,"Seaweeds, with their diverse applications in food, energy, medicine and the chemical industry, hold immense potential as a renewable resource. However, the escalating demand for seaweed products has surpassed the sustainable yield from natural sources. This supply-demand gap necessitates the exploration and expansion of seaweed cultivation. While marine ecosystems currently dominate seaweed farming practices, investigating alternative cultivation environments is essential, as brackishwater offers an untapped opportunity for the sustainable production of this valuable resource. This study aims to systematically identify and assess potential areas suitable for seaweed farming in the Chengalpattu district brackishwater ecosystem using the Fuzzy Analytic Hierarchy Process (FAHP) in conjunction with geospatial techniques. FAHP combines AHP with fuzzy logic to better handle uncertainty and subjectivity in decision-making. Twenty-two representative locations along the coast in the brackishwater ecosystem were identified, and samples were collected and assessed at monthly intervals. This comprehensive study involved a meticulous evaluation of several key criteria viz., water quality, environmental factors, resource accessibility and relevant constraints. To facilitate a nuanced and spatially explicit analysis, each criterion was further sub-classified and systematically mapped using ArcGIS. Results revealed a total of 141.56 hectares as potential areas for seaweed farming, with 91.93 hectares classified as highly suitable and 49.63 hectares as moderately suitable. The findings contribute to the advancement of sustainable aquaculture practices by promoting the cultivation of seaweed in underutilised brackishwater environments. This strategic approach not only caters to the escalating market demand for seaweed but also cultivates economic prospects and livelihood enhancement for coastal communities.",Y,Y,India,Other Asia,Fuzzy AHP and geospatial analysis,Yes,Not considered,Not included,,,,,,,
food energy AHP,"Wolde, Z; Wei, W; Ketema, H; Yirsaw, E; Temesegn, H","Indicators of Land, Water, Energy and Food (LWEF) Nexus Resource Drivers: A Perspective on Environmental Degradation in the Gidabo Watershed, Southern Ethiopia",INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH AND PUBLIC HEALTH,,"In Ethiopia, land, water, energy and food (LWEF) nexus resources are under pressure due to population growth, urbanization and unplanned consumption. The effect of this pressure has been a widely discussed topic in nexus resource literature. The evidence shows the predominantly negative impact of this; however, the impact of these factors is less explored from a local scale. As a result, securing nexus resources is becoming a serious challenge for the country. This necessitates the identification of the driving factors for the sustainable utilization of scarce LWEF nexus resources. Our study provides a systemic look at the driving factor indicators that induce nexus resource degradation. We use the Analytical Hierarchical Process (AHP) to develop the indicators' weights, and use a Path Analysis Model (PAM) to quantitatively estimate the effect of the driving factor indicators on the LWEF nexus resources. The results indicate that social (48%), economic (19%), and policy and institutional changes (14%) are the major nexus resource driving factor indicators. The path analysis results indicate that among the social driving factor indicators, population growth and consumption patterns have a significant direct effect on the LWEF nexus, with path coefficients of 0.15 and 0.089, respectively. Similarly, the potential of LWEF nexus resources is also influenced by the institutional and policy change drivers, such as outdated legislation and poor institutional structure, with path coefficients of 0.46 and 0.39, respectively. This implies that population growth and consumption patterns are the leading social drivers, while outdated legislation and poor institutional structures are the institutional and policies change drivers which have a potential impact on LWEF nexus resource degradation. Similarly, other driving factors such as environmental, economic and technological factors also affect nexus resources to varying degrees. The findings of our study show the benefits of managing the identified driving factors for the protection of LWEF nexus resources, which have close links with human health and the environment. In order to alleviate the adverse effects of driving factors, all stakeholders need to show permanent individual and collective commitment. Furthermore, we underline the necessity of applying LWEF nexus approaches to the management of these drivers, and to optimize the environmental and social outcomes.",Y,Y,Ethiopia,Africa,"AHP and path analysis, no spatial analysis",No,Considered,Included,,,,,,,
food energy AHP,"Cortez-Núñez, JA; Gutiérrez-Castillo, ME; Mena-Cervantes, VY; Terán-Cuevas, AR; Tovar-Gálvez, LR; Velasco, J",A GIS Approach Land Suitability and Availability Analysis of Jatropha Curcas L. Growth in Mexico as a Potential Source for Biodiesel Production,ENERGIES,,"Jatropha curcas L. (JCL) commercial plantations in Mexico, one of the most important JCL origin centers, have failed due to a variety of biological, political and technical factors affecting their productivity. This study explores feasible sites of JCL cultivation as a potential source for biodiesel production in Mexico, given agroclimatic and agroecological considerations. We propose a GIS-based approach for estimating suitable and available lands to grow JCL by integrating an Analytical Hierarchy Process (AHP) in the ArcGIS software. Spatial analysis combined multiple data, different evaluation criteria, three land availability classes (high, medium and low potential) and took into account ecological, ethical, and political restrictions, and considering two scenarios with different restriction levels. Suitability and availability maps were generated using agroclimatic information (climatic, land use/soil, and climate change and extreme weather events risk) together with other socioeconomic factors. Approximately 15.3% of Mexican territory is available for JCL production yielding a biodiesel production of 9.683 Mm(3)/year. Amelioration of the available land is necessary to improve land selection. GIS-based analysis represents a first approach to establish a successful biodiesel project that avoids, competition with food or feed production, maintains biodiversity conservation, and promotes biofuel supply chain development. This procedure would also be applicable to other energy crops such as oil palm and Ricinus communis.",Y,Y,Mexico,North America,AHP and GIS,Yes,Considered,Included,,,,,,,
food energy AHP,"Li, FJ; Guo, KX; Liao, XY",Risk Assessment of China Rapeseed Supply Chain and Policy Suggestions,INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH AND PUBLIC HEALTH,,"Rapeseed, as the most important oil crop in the world, not only affects national food security but also affects energy security and environmental security. It is very important to conduct a risk assessment of China's rapeseed supply chain and put forward suggestions to construct a safe, effective, and accessible supply chain. In order to accurately evaluate the safety of the rapeseed supply chain from 2010 to 2020, we applied fuzzy multiconnection theory and analytic hierarchy process model (AHP). A comprehensive risk assessment model for the rapeseed supply chain with two primary indicators and 10 secondary indicators was constructed. By establishing the rapeseed risk evaluation model, we quantitatively analyzed the risk of China's rapeseed supply chain. The domestic risk of production is still high, and the international risk under the high import dependence is alarming. We put forward risk prevention and countermeasures for China's rapeseed supply chain. The results show that China has a large demand for rapeseed products, but the increase in China production is limited and the import from other countries is unstable. The proposed suggestions are designed to optimize and enhance the stability of the rapeseed product's supply chain. It is recommended to continue to consolidate and deepen the cooperation with traditional trading partners such as Germany, Spain, the United States, and Brazil; expand other import sources to build a more diversified and efficient rapeseed product import network and extend the supply chain of rapeseed products. This research can be a basis for making decisions for promoting the sustainable and efficient development of the rapeseed supply chain.",Y,Y,China,Other Asia,"fuzzy AHP, no spatial analysis",No,Not considered,Not included,,,,,,,
food fuel suitability,"Soman, S; Byju, G; Sreekumar, J",Projected changes in mean temperature and total precipitation and climate suitability of cassava (Manihot esculenta) in major growing environments of India,INDIAN JOURNAL OF AGRICULTURAL SCIENCES,,"Cassava (Manihot esculenta Crantz) is an important food crop of India cultivated in an area of 228 000 ha for food, feed and fuel, contributes to food security, equity, poverty alleviation and environmental protection. This study examined the projected climatic changes in the major cassava growing environments of India and also calibrated and evaluated the EcoCrop model to study the impact of 2030 climate on cassava climate suitability in the major growing environments of India. The current climate and future climate projections of 22 GCMs from the SRES-A1B emission scenario were used for the study. The projected change in annual mean temperature and total annual precipitation in the major growing areas ranged from 0.9 to 1.2 degrees C and from 6.8 to 112.4 mm, respectively. The calibrated data were used to drive the EcoCrop model to find out the suitability of current and future climatic conditions. The change in suitability for all the 22 GCMs used was calculated on pixel basis and the mean suitability change indicate that cassava is actually positively impacted in the current growing areas of India with -2.2 to 15% changes in climate suitability. This study concluded that cassava is potentially highly resilient to future climatic changes and it can become a future crop in India, where other crops would fail due to climate change.",Y,Y,India,Other Asia,"EcoCrop Model, includes spatial analysis",Yes,Not considered,Not included,,,,,,,
food fuel suitability,"Jaroenkietkajorn, U; Gheewala, SH",Land suitability assessment for oil palm plantations in Thailand,SUSTAINABLE PRODUCTION AND CONSUMPTION,,"Oil palm plantations have been expanded in all regions of Thailand during the past decade to support the higher consumption of palm oil for food and fuel. It is, however, imperative to expand in those areas that have soil quality suitable for oil palm cultivation. Therefore, this study aimed to assess land suitability for the different regions of Thailand where oil palm is being cultivated. The suitability is justified by two aspects, viz., soil quality and remaining suitable areas. The Land Use Indicator Value Calculation in Life Cycle Assessment (LANCA (R)) method was used for the assessment. The results demonstrated that the soil quality in the southern region was most suitable for oil palm cultivation. Although this region has a lower availability of plantation areas as compared to the other regions, it is still enough to satisfy the forecasted oil palm expansion areas. Meanwhile, although the northeastern region ranked second in terms of appropriate soil quality, it may not be appropriate for oil palm due to the low groundwater regeneration. Hence, it is also important to look at the individual properties contributing to soil quality rather than deciding only on the basis of one aggregated indicator. (C) 2021 Institution of Chemical Engineers. Published by Elsevier B.V. All rights reserved.",Y,Y,Thailand,Other SE Asia,LANCA Life cycle assessment; GIS,Yes,Considered,Included,,,,,,,
food fuel suitability,"Khalid, F; Ullah, S; Khalil, S; Yousaf, A; Shafique, M; Khan, MT; Rehman, F; Ahmad, N; Rahman, KU; Hussain, M",Optimizing Jatropha curcas bioenergy plantations in Pakistan: A geospatial suitability analysis using advanced spatial modeling,TREES FORESTS AND PEOPLE,,"Bioenergy from energy plants, an alternative fuel, is projected to increasingly meet future worldwide energy demands as well as those of a developing nation like Pakistan. Jatropha curcas (JC) has been found to possess many desirable qualities, including high oil content seeds (27-40 %), rapid growth, ease of growing, tolerance to drought, ability to grow on poor soil and wasteland, needing less nutrient input and management, and not interfering with current food crops, insects, or pest resistance. Hence, growing JC in highly appropriate barren lands could reduce the global reliance on fossil fuels. However, an evaluation of the suitability of the land would be required for tree establishment to be effective. In this study, we integrated an Analytical Hierarchy Process (AHP) with the ArcGIS tool for assessing suitable available sites to cultivate JC across Pakistan. Using geospatial technologies, this study intended to assess and map possible areas appropriate for JC bioenergy plantations with the necessary climate, soil type, and topography factors. Pakistan was classified into 3 levels of suitability for JC plantations based on the results of a spatial analysis that integrated various data sets and varied evaluation criteria: Most Suitable, Moderately Suitable, and Less Suitable. Our results showed that out of the total area of Pakistan, around 54,392,075 hectares (57 %), 22,516,700 hectares (23 %), and 19,594,100 hectares (20%) were identified as highly suitable, moderately suitable, and less suitable, respectively, for JC bioenergy plantations. We conclude that the methods used in this study provided a considerably reliable estimate of suitable sites for JC production in Pakistan. It can assist smallholder-based initiatives to promote JC cultivation on farmer-owned to enhance their living circumstances. Multi-criteria decision analysis (MCDA) was found to be a beneficial tool in breaking down the issues of identifying and classification of the locations for afforestation in the management of forests.",Y,Y,Pakistan,Other Asia,"AHP with AcrGIS tool for suitability, MCDA",Yes,Not considered,Not included,,,,,,,
food fuel suitability,"Ehrensperger, A; Randriamalala, JR; Raoliarivelo, LIB; Husi, JM",Jatropha mahafalensis for rural energy supply in south-western Madagascar?,ENERGY FOR SUSTAINABLE DEVELOPMENT,,"In many parts of the eastern African region wood-based fuels will remain dominant sources of energy in coming decades. Pressure on forests, especially in semi-arid areas will therefore continue increasing. In this context the role of liquid biofuels as substitutes for firewood and charcoal, to help reducing pressure on woody biomass and contributing to a better energy security of rural communities, has remained controversial among researchers and practitioners. At household level, the economic and technical feasibility of straight vegetable oil (SVO) was assessed mainly on Jatropha curcas, with unpersuasive results. So far nothing is known about the suitability as an energy carrier ofJatropha mahafalensis Jum. & H. Perrier, the only endemic representative of the Jatropha genus in Madagascar. This paper explores the potential of this plant as a biofuel feedstock in the agro-pastoral area of Soalara, in the semi-arid south-western part of Madagascar. Only hedge-based production was considered to rule out competition over land with food crops. Yield data, the length of currently existing hedges and energy consumption patterns of households were used to assess the quantitative potential and economic viability of J. mahafalensis SVO for lighting and cooking. Tests were conducted with cooking and lighting devices to assess their technical suitability at household level. The paper concludes that J. mahafalensis hedges have some potential to replace paraffin for lighting (though without much economic benefit for the concerned households), but not to replace charcoal or firewood for cooking. The paper recommends that rural energy strategies in similar contexts do not focus only on substituting current fuels with SVO, but should also take into consideration other alternatives. In the case of cooking, there seems to be substantially more potential in increasing the efficiency of current fuel production and consumption technologies (kilns and stoves); and in the case of lighting, solutions based on SVO need to be compared against other options such as portable solar devices. (C) 2015 The Authors. Published by Elsevier Inc. on behalf of International Energy Initiative.",Y,Y,Madagascar,Africa,Spatial and quantitative analysis,Yes,Not considered,Not included,,,,,,,
food fuel suitability,"Jaroenkietkajorn, U; Gheewala, SH",Interlinkage between water-energy-food for oil palm cultivation in Thailand,SUSTAINABLE PRODUCTION AND CONSUMPTION,,"Biofuels for use in on-road transportation have been promoted in Thailand over the past decade to reduce dependence on imported fossil resources as well as possibly reducing greenhouse gas emissions. This has led to an increase in production of biodiesel which is produced from palm oil. However, as palm oil is also used for food, it is important to take this into consideration as well. Also, oil palm cultivation is rather water-intensive. Hence, it is necessary to analyze the interlinkage between water, food, and energy to have a holistic understanding and prevent trade-offs when addressing one issue in isolation. The water-energy-food nexus for oil palm cultivation in Thailand has been conducted following two widely used methods, the Water-Food-Energy Nexus (WFEN) and Water-Energy-Food (WEF) nexus assessment method. The results are demonstrated as a single score, which is easier for suggesting a suitable area for oil palm plantation. The assessment indicates the southern region of Thailand is the most suitable for oil palm plantation. The recommendation is consistent with the suggestion of the government, based on land and climate suitability. However, this study considers more comprehensive aspects including various other environmental aspects. Oil palm cultivation mainly relates to the amount of freshwater consumption, leading to the increment of fuel consumption for pumping water. On the other hand, the effectiveness of fresh fruit bunch yield (for food and energy production) should be developed in the future. Besides, the results recommend the central region for the expansion of oil palm cultivation in the future because of the availability of a good irrigation infrastructure. (C) 2020 Institution of Chemical Engineers. Published by Elsevier B.V. All rights reserved.",Y,Y,Thailand,Other SE Asia,"water food energy nexus and water energy food nexus assessment method, no spatial analysis",No,Not considered,Not included,,,,,,,
